data:m,data:left_helix_joints,data:right_helix_joints,data:up_helix_counts,data:down_helix_counts,data:symmetry,data:antiparallel
9,UP,UP,0&60&0,0&60&0,1.0,True
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
9,UP,UP,0&60&0,0&60&0,,
5,DOWN,DOWN,0&60&0,0&60&0,,
11,UP,UP,0&60&0,0&60&0,,
10,DOWN,DOWN,0&60&0,0&60&0,,
11,UP,UP,0&60&0,0&60&0,,
7,DOWN,DOWN,0&60&0,0&60&0,,
12,UP,UP,0&60&0,0&60&0,,
12,DOWN,DOWN,0&60&0,0&60&0,,
12,UP,UP,0&60&0,0&60&0,,
12,DOWN,DOWN,0&60&0,0&60&0,,
12,UP,UP,0&60&0,0&60&0,,
12,DOWN,DOWN,0&60&0,0&60&0,,
12,UP,UP,0&60&0,0&60&0,,
12,DOWN,DOWN,0&60&0,0&60&0,,
12,UP,UP,0&60&0,0&60&0,,
12,DOWN,DOWN,0&60&0,0&60&0,,
12,UP,UP,0&60&0,0&60&0,,
8,DOWN,DOWN,0&60&0,0&60&0,,
10,UP,UP,0&60&0,0&60&0,,
11,DOWN,DOWN,0&60&0,0&60&0,,
10,UP,UP,0&60&0,0&60&0,,
5,DOWN,DOWN,0&60&0,0&60&0,,
