uuid,data:m,data:left_helix_joints,data:right_helix_joints,data:left_helix_count,data:other_helix_count,data:symmetry,data:antiparallel
e19bc1f3-b08e-11ed-9a84-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,1.0,True
e19bc1f4-b08e-11ed-b680-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc1f5-b08e-11ed-9d52-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc1f6-b08e-11ed-b9ac-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc1f7-b08e-11ed-b657-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc1f8-b08e-11ed-b5a5-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc1f9-b08e-11ed-aac4-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc1fa-b08e-11ed-83ce-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc1fb-b08e-11ed-90ed-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc1fc-b08e-11ed-b068-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc1fd-b08e-11ed-acad-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc1fe-b08e-11ed-83e8-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc1ff-b08e-11ed-acef-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc200-b08e-11ed-a186-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc201-b08e-11ed-800b-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc202-b08e-11ed-849f-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc203-b08e-11ed-a2d1-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc204-b08e-11ed-b87f-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc205-b08e-11ed-87fe-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc206-b08e-11ed-97cf-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc207-b08e-11ed-90ef-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc208-b08e-11ed-8d1c-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc209-b08e-11ed-848e-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc20a-b08e-11ed-975c-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc20b-b08e-11ed-bb06-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc20c-b08e-11ed-9a1a-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc20d-b08e-11ed-a2c1-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc20e-b08e-11ed-b4d0-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc20f-b08e-11ed-8790-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc210-b08e-11ed-98b1-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc211-b08e-11ed-8f97-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
e19bc212-b08e-11ed-9537-2a8088df4c09,11,DOWN,DOWN,0-60-0,0-60-0,,
e19bc213-b08e-11ed-bc65-2a8088df4c09,9,UP,UP,0-60-0,0-60-0,,
