,data:m,data:left_helix_joints,data:right_helix_joints,data:up_helix_counts,data:down_helix_counts,data:symmetry,data:antiparallel,uuid
0,12,UP,UP,0&60&0,0&60&0,1.0,True,4ca32eba-1e19-11ee-a068-f40f242a861d
1,12,DOWN,DOWN,0&60&0,0&60&0,,,4ca32ffa-1e19-11ee-a068-f40f242a861d
2,6,UP,UP,0&60&0,0&60&0,,,4ca33086-1e19-11ee-a068-f40f242a861d
3,6,DOWN,DOWN,0&60&0,0&60&0,,,4ca33108-1e19-11ee-a068-f40f242a861d
4,12,UP,UP,0&60&0,0&60&0,,,4ca33180-1e19-11ee-a068-f40f242a861d
5,12,DOWN,DOWN,0&60&0,0&60&0,,,4ca331f8-1e19-11ee-a068-f40f242a861d
6,6,UP,UP,0&60&0,0&60&0,,,4ca33266-1e19-11ee-a068-f40f242a861d
7,9,DOWN,DOWN,0&60&0,0&60&0,,,4ca32eba-1e19-11ee-a068-f40f242a861d
8,6,UP,UP,0&60&0,0&60&0,,,4ca32ffa-1e19-11ee-a068-f40f242a861d
9,12,DOWN,DOWN,0&60&0,0&60&0,,,4ca33086-1e19-11ee-a068-f40f242a861d
10,12,UP,UP,0&60&0,0&60&0,,,4ca33108-1e19-11ee-a068-f40f242a861d
11,6,DOWN,DOWN,0&60&0,0&60&0,,,4ca33180-1e19-11ee-a068-f40f242a861d
12,9,UP,UP,0&60&0,0&60&0,,,4ca331f8-1e19-11ee-a068-f40f242a861d
13,6,DOWN,DOWN,0&60&0,0&60&0,,,4ca33266-1e19-11ee-a068-f40f242a861d
